Time,X,Y,Z
14.00061,0.3374031,0.2313529,5.629273
15.0033,0.3374031,0.2313529,5.629273
16.00458,0.3374031,0.2313529,5.629273
17.00727,0.3009474,0.231353,6.302406
18.00759,0.2649362,0.2313529,6.96733
19.01126,0.2649362,0.2313529,6.96733
20.01183,0.2649362,0.2313529,6.96733
21.01208,0.3139172,0.2313529,6.413343
22.01354,0.3070568,0.2313529,5.627282
23.01576,0.3070568,0.2313529,5.627282
24.01631,0.3070568,0.2313529,5.627282
25.01785,0.3070568,0.2313529,5.627282
26.02061,0.3121648,0.231353,6.21256
27.02212,0.3506218,0.2313529,5.626492
28.02467,0.3506218,0.2313529,5.626492
29.0274,0.3506218,0.2313529,5.626492
30.03053,0.3506218,0.2313529,5.626492
31.03325,0.3263546,0.2313529,5.83307
32.03369,0.351071,0.231353,5.622669
33.03593,0.351071,0.231353,5.622669
34.03866,0.351071,0.231353,5.622669
35.04031,0.351071,0.2313529,5.622669
36.04249,0.351071,0.231353,5.622669
37.04585,0.3075324,0.2313529,5.993298
38.04614,0.3505847,0.2313529,5.626808
39.04762,0.3505847,0.2313529,5.626808
40.0485,0.3505847,0.2313529,5.626808
41.05124,0.3505847,0.2313529,5.626808
42.05173,0.2604589,0.231353,6.382631
43.05299,0.349342,0.231353,5.63723
44.05597,0.349342,0.231353,5.63723
45.05709,0.349342,0.231353,5.63723
46.05803,0.349342,0.231353,5.63723
47.06092,0.349342,0.231353,5.63723
48.06166,0.349342,0.231353,5.63723
49.06236,0.349342,0.231353,5.63723
50.06342,0.349342,0.2313529,5.63723
51.06403,0.2867619,0.231353,6.162045
52.06599,0.351202,0.231353,5.621631
53.06615,0.351202,0.231353,5.621631
54.06915,0.351202,0.231353,5.621631
55.06951,0.351202,0.2313529,5.621631
56.0712,0.342714,0.2313529,5.692814
0.9821507,0.9568576,0.231353,7.085282
1.982317,1.793159,0.231353,6.156684
2.983597,2.298373,0.2313529,5.592144
3.984862,2.35709,0.231353,5.576301
4.98573,1.883937,0.2313529,5.703967
5.986294,2.37935,0.2313529,5.570294
6.987585,2.047643,0.2313529,5.659796
7.989774,2.374769,0.2313529,5.57153
8.991048,2.374769,0.2313529,5.57153
9.993261,2.374769,0.2313529,5.57153
10.99476,2.374769,0.2313529,5.57153
11.99486,2.374769,0.2313529,5.57153
12.99662,2.369243,0.2313529,5.573021
13.99718,2.057011,0.2313529,5.657268
14.99931,2.375771,0.231353,5.57126
